legacy_code,occurred_on,amount,currency,direction,category,label,merchant,project,account,account_raw,card,bill_cycle,installments,cleared,cleared_on,created_at,updated_at
1,2011-08-01,-2400.0,BRL,expense,OBRIGAÇÕES,DIFERENÇA ARRUMAR DILUIR,xxx,,,,,,,1,,2023-03-19 19:44:57,2023-05-19 02:21:46
2,2011-08-01,2567.5,BRL,income,RENDIMENTOS,EXTREME,,,,,,,,1,,2023-03-19 19:44:57,
3,2011-08-10,-270.0,BRL,expense,OBRIGAÇÕES,ANPAD,,,,,,,,1,,2023-03-19 19:44:57,
4,2011-08-10,-56.0,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
5,2011-08-10,-39.0,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
6,2011-08-10,-125.0,BRL,expense,OBRIGAÇÕES,SANTANDER,,,,,,,7/1,1,,2023-03-19 19:44:57,
7,2011-09-01,-212.69,BRL,expense,ALIMENTAÇÃO,ALIMENTAÇÃO,,,,,,,,1,,2023-03-19 19:44:57,
8,2011-09-01,-8.0,BRL,expense,COMPRAS,CHIP CELULAR,,,,,,,,1,,2023-03-19 19:44:57,
9,2011-09-01,-24.0,BRL,expense,LAZER,CINEMA,,,,,,,,1,,2023-03-19 19:44:57,
10,2011-09-01,-24.0,BRL,expense,COMUNICAÇÕES,CREDITO CELULAR,,,,,,,,1,,2023-03-19 19:44:57,
11,2011-09-01,2567.5,BRL,income,RENDIMENTOS,EXTREME,,,,,,,,1,,2023-03-19 19:44:57,
12,2011-09-01,-1.95,BRL,expense,OBRIGAÇÕES,IMPRESSOS,,,,,,,,1,,2023-03-19 19:44:57,
13,2011-09-01,-14.89,BRL,expense,COMPRAS,MOUSE COMPUTADOR,,,,,,,,1,,2023-03-19 19:44:57,
14,2011-09-01,-158.0,BRL,expense,COMPRAS,NOTBOOK,,,,,,,10/1,1,,2023-03-19 19:44:57,
15,2011-09-01,-10.99,BRL,expense,COMPRAS,PRESENTE,,,,,,,,1,,2023-03-19 19:44:57,
16,2011-09-01,-125.0,BRL,expense,OBRIGAÇÕES,SANTANDER,,,,,,,7/2,1,,2023-03-19 19:44:57,
17,2011-09-10,-5.4,BRL,expense,CUIDADOS,DESODORANTE,,,,,,,,1,,2023-03-19 19:44:57,
18,2011-09-10,-5.46,BRL,expense,CUIDADOS,ESCOVA DENTAL,,,,,,,,1,,2023-03-19 19:44:57,
19,2011-09-10,-4.59,BRL,expense,CUIDADOS,FIO DENTAL,,,,,,,,1,,2023-03-19 19:44:57,
20,2011-09-10,-1.79,BRL,expense,CUIDADOS,PROTETOR ESCOVA DE DENTE,,,,,,,,1,,2023-03-19 19:44:57,
21,2011-09-10,-39.0,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
22,2011-09-10,-6.32,BRL,expense,CUIDADOS,SABONETE,,,,,,,,1,,2023-03-19 19:44:57,
23,2011-09-10,-12.0,BRL,expense,TRANSPORTE,TAXI,,,,,,,,1,,2023-03-19 19:44:57,
24,2011-09-10,-28.0,BRL,expense,TRANSPORTE,URBS,,,,,,,,1,,2023-03-19 19:44:57,
25,2011-09-12,-530.0,BRL,expense,MORADIA,ALUGUEL,,,,,,,,1,,2023-03-19 19:44:57,
26,2011-09-12,-23.58,BRL,expense,OBRIGAÇÕES,DIVERSOS,,,,,,,,1,,2023-03-19 19:44:57,
27,2011-10-01,-212.8,BRL,expense,ALIMENTAÇÃO,ALIMENTAÇÃO,,,,,,,,1,,2023-03-19 19:44:57,
28,2011-10-01,-72.0,BRL,expense,LAZER,BALADA,,,,,,,,1,,2023-03-19 19:44:57,
29,2011-10-01,-32.9,BRL,expense,VESTUARIO,CALÇA,,,,,,,,1,,2023-03-19 19:44:57,
30,2011-10-01,-10.0,BRL,expense,LAZER,CINEMA,,,,,,,,1,,2023-03-19 19:44:57,
31,2011-10-01,-10.0,BRL,expense,CUIDADOS,CORTE DE CABELO,,,,,,,,1,,2023-03-19 19:44:57,
32,2011-10-01,-35.0,BRL,expense,COMUNICAÇÕES,CREDITO CELULAR,,,,,,,,1,,2023-03-19 19:44:57,
33,2011-10-01,-70.0,BRL,expense,OBRIGAÇÕES,DOCUMENTOS,,,,,,,,1,,2023-03-19 19:44:57,
34,2011-10-01,1500.0,BRL,income,RENDIMENTOS,EXTREME,,,,,,,,1,,2023-03-19 19:44:57,
35,2011-10-01,-2.0,BRL,expense,OBRIGAÇÕES,IMPRESSOS,,,,,,,,1,,2023-03-19 19:44:57,
36,2011-10-01,-158.0,BRL,expense,COMPRAS,NOTBOOK,,,,,,,10/2,1,,2023-03-19 19:44:57,
37,2011-10-01,-19.75,BRL,expense,COMPRAS,PRESENTE,PRESENTE GUSTAVO IRMAO DE,,,,,,,1,,2023-03-19 19:44:57,
38,2011-10-01,-125.0,BRL,expense,OBRIGAÇÕES,SANTANDER,,,,,,,7/3,1,,2023-03-19 19:44:57,
39,2011-10-10,-56.4,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
40,2011-10-10,-24.39,BRL,expense,TRANSPORTE,URBS,,,,,,,,1,,2023-03-19 19:44:57,
41,2011-11-01,69.0,BRL,income,RENDIMENTOS,13 º SALÁRIO,LAVEBRAS,,,,,,,1,,2023-03-19 19:44:57,
42,2011-11-01,-18.5,BRL,expense,ALIMENTAÇÃO,ALIMENTAÇÃO,,,,,,,,1,,2023-03-19 19:44:57,
43,2011-11-01,-85.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
44,2011-11-01,85.0,BRL,income,RENDIMENTOS,ALMOÇO LAVEBRAS,,,,,,,,1,,2023-03-19 19:44:57,
45,2011-11-01,-22.0,BRL,expense,LAZER,BALADA,,,,,,,,1,,2023-03-19 19:44:57,
46,2011-11-01,-20.0,BRL,expense,CUIDADOS,CORTE DE CABELO,,,,,,,,1,,2023-03-19 19:44:57,
47,2011-11-01,-36.0,BRL,expense,OBRIGAÇÕES,DOCUMENTOS,,,,,,,,1,,2023-03-19 19:44:57,
48,2011-11-01,-283.0,BRL,expense,RENDIMENTOS,EXTREME,,,,,,,,1,,2023-03-19 19:44:57,
49,2011-11-01,2706.0,BRL,income,RENDIMENTOS,EXTREME,,,,,,,,1,,2023-03-19 19:44:57,
50,2011-11-01,-158.0,BRL,expense,COMPRAS,NOTBOOK,,,,,,,10/3,1,,2023-03-19 19:44:57,
51,2011-11-01,-76.0,BRL,expense,CUIDADOS,PELLING,,,,,,,,1,,2023-03-19 19:44:57,
52,2011-11-01,249.0,BRL,income,RENDIMENTOS,SALÁRIO,LAVEBRAS,,,,,,,1,,2023-03-19 19:44:57,
53,2011-11-01,-125.0,BRL,expense,OBRIGAÇÕES,SANTANDER,,,,,,,7/4,1,,2023-03-19 19:44:57,
54,2011-11-10,-99.9,BRL,expense,OBRIGAÇÕES,ALBUM FORMATURA,,,,,,,10/1,1,,2023-03-19 19:44:57,
55,2011-11-10,-185.0,BRL,expense,TRANSPORTE,COMBUSTIVEL,,,,,,,,1,,2023-03-19 19:44:57,
56,2011-11-22,-17.0,BRL,expense,MORADIA,ALUGUEL,,,,,,,,1,,2023-03-19 19:44:57,
57,2011-12-01,-80.0,BRL,expense,ESPORTE,ACADEMIA,,,,,,,,1,,2023-03-19 19:44:57,
58,2011-12-01,-14.55,BRL,expense,ALIMENTAÇÃO,ALIMENTAÇÃO,,,,,,,,1,,2023-03-19 19:44:57,
59,2011-12-01,-85.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
60,2011-12-01,85.0,BRL,income,RENDIMENTOS,ALMOÇO LAVEBRAS,,,,,,,,1,,2023-03-19 19:44:57,
61,2011-12-01,-73.0,BRL,expense,LAZER,BALADA,,,,,,,,1,,2023-03-19 19:44:57,
62,2011-12-01,-50.0,BRL,expense,LAZER,CINEMA,,,,,,,,1,,2023-03-19 19:44:57,
63,2011-12-01,-10.0,BRL,expense,CUIDADOS,CORTE DE CABELO,,,,,,,,1,,2023-03-19 19:44:57,
64,2011-12-01,-17.0,BRL,expense,COMUNICAÇÕES,CREDITO CELULAR,,,,,,,,1,,2023-03-19 19:44:57,
65,2011-12-01,-90.0,BRL,expense,VESTUARIO,CUECAS SAMILA,,,,,,,,1,,2023-03-19 19:44:57,
66,2011-12-01,-283.0,BRL,expense,RENDIMENTOS,EXTREME,,,,,,,,1,,2023-03-19 19:44:57,
67,2011-12-01,1500.0,BRL,income,RENDIMENTOS,EXTREME,,,,,,,,1,,2023-03-19 19:44:57,
68,2011-12-01,-12.0,BRL,expense,LAZER,FILMES LOCADORA,,,,,,,,1,,2023-03-19 19:44:57,
69,2011-12-01,-158.0,BRL,expense,COMPRAS,NOTBOOK,,,,,,,10/4,1,,2023-03-19 19:44:57,
70,2011-12-01,-21.0,BRL,expense,COMPRAS,PRESENTE,PRESENTE,,,,,,,1,,2023-03-19 19:44:57,
71,2011-12-01,-125.0,BRL,expense,OBRIGAÇÕES,SANTANDER,,,,,,,7/7,1,,2023-03-19 19:44:57,
72,2011-12-01,-99.5,BRL,expense,QUALIFICAÇÃO,TAXA INSCRIÇÃO,,,,,,,,1,,2023-03-19 19:44:57,
73,2011-12-01,80.0,BRL,income,RENDIMENTOS,VALE MERCADO,,,,,,,,1,,2023-03-19 19:44:57,
74,2011-12-10,-99.9,BRL,expense,OBRIGAÇÕES,ALBUM FORMATURA,,,,,,,10/2,1,,2023-03-19 19:44:57,
75,2011-12-10,-233.0,BRL,expense,MORADIA,ALUGUEL,,,,,,,,1,,2023-03-19 19:44:57,
76,2011-12-11,-40.0,BRL,expense,TRANSPORTE,COMBUSTIVEL,xxx_yyy,,,,,,,1,,2023-03-19 19:44:57,2023-05-12 18:54:21
77,2011-12-10,-62.0,BRL,expense,TRANSPORTE,REUNIDAS,PASSAGEM,,,,,,,1,,2023-03-19 19:44:57,2023-05-12 18:53:47
78,2011-12-10,812.0,BRL,income,RENDIMENTOS,SALÁRIO,LAVEBRAS,,,,,,,1,,2023-03-19 19:44:57,
79,2012-01-01,-80.0,BRL,expense,ESPORTE,ACADEMIA,,,,,,,,1,,2023-03-19 19:44:57,
80,2012-01-01,-28.1,BRL,expense,ALIMENTAÇÃO,ALIMENTAÇÃO,,,,,,,,1,,2023-03-19 19:44:57,
81,2012-01-01,-85.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
82,2012-01-01,85.0,BRL,income,RENDIMENTOS,ALMOÇO LAVEBRAS,,,,,,,,1,,2023-03-19 19:44:57,
83,2012-01-01,-31.0,BRL,expense,LAZER,BALADA,,,,,,,,1,,2023-03-19 19:44:57,
84,2012-01-01,-17.0,BRL,expense,CUIDADOS,CORTE DE CABELO,,,,,,,,1,,2023-03-19 19:44:57,
85,2012-01-01,-283.0,BRL,expense,RENDIMENTOS,EXTREME,,,,,,,,1,,2023-03-19 19:44:57,
86,2012-01-01,1500.0,BRL,income,RENDIMENTOS,EXTREME,,,,,,,,1,,2023-03-19 19:44:57,
87,2012-01-01,-158.0,BRL,expense,COMPRAS,NOTBOOK,,,,,,,10/5,1,,2023-03-19 19:44:57,
88,2012-01-01,-12.0,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
89,2012-01-01,812.0,BRL,income,RENDIMENTOS,SALÁRIO,LAVEBRAS,,,,,,,1,,2023-03-19 19:44:57,
