feeling,sensation,emotion
Indefeso,Assustado,Medo
Aterrorizado,Assustado,Medo
Sobrecarregado,Ansiedade,Medo
Preocupado,Ansiedade,Medo
Inadequado,Insegurança,Medo
Inferior incapaz,Insegurança,Medo
Incapaz,Fraco,Medo
Insignificante,Fraco,Medo
Excluido,Rejeiçao,Medo
Reprimido,Rejeiçao,Medo
Nervoso,Ameaçado,Medo
Exposto,Ameaçado,Medo
Traído,Desapontado,Raiva
Resentido,Desapontado,Raiva
Desrespeitado,Humilhacao,Raiva
Ridicularizado,Humilhacao,Raiva
Indignado,Amargura,Raiva
Violado,Amargura,Raiva
Fúria,Ensandecido,Raiva
Inveja,Ensandecido,Raiva
Provocador,Agressivo,Raiva
Hostil,Agressivo,Raiva
Enfurecido,Frustraçao,Raiva
Aborrecido,Frustraçao,Raiva
Retraido,Reservado,Raiva
Entorpecido,Reservado,Raiva
Cético,Crítico,Raiva
Arrogante,Crítico,Raiva
Julgamento,Desaprovaçao,Enojado
Constrangido e vergonha,Desaprovaçao,Enojado
Chocado,Desapontado,Enojado
Revoltado,Desapontado,Enojado
Nauseado,Terrível,Enojado
Detestavel,Terrível,Enojado
Horrorizado,Rejeiçao,Enojado
Hesitacao,Rejeiçao,Enojado
Constrangido,Magoado,Triste
Desapontado,Magoado,Triste
Inferior baixa energia,Depressivo,Triste
Vazio,Depressivo,Triste
Remorso,Culpa,Triste
Vergonha,Culpa,Triste
Sofrimento,Desespero,Triste
Impotante,Desespero,Triste
Vitimado,Vulnerável,Triste
Frágil,Vulnerável,Triste
Isolado,Solidão,Triste
Abandonado,Solidão,Triste
Excitaçao,Diversão,Feliz
Atrevimento,Diversão,Feliz
Liberdade,Satisfaçao,Feliz
Feliciddade,Satisfaçao,Feliz
Curiosidade,Interesse,Feliz
Indagaçao,Interesse,Feliz
Satisfaçao,Orgulho,Feliz
Confiança,Orgulho,Feliz
Respeito,Aceitaçao,Feliz
Reconhecimento,Aceitaçao,Feliz
Coragem,Poder,Feliz
Criatividade,Poder,Feliz
Amoroso,Paz,Feliz
Agradecimento,Paz,Feliz
Sensibilidade,Confiança,Feliz
Intimidade,Confiança,Feliz
Esperança,Otimismo,Feliz
Inspiraçao,Otimismo,Feliz
Choque,Assombro,Surpresa
Desanimo,Assombro,Surpresa
Desilusão,Confusão,Surpresa
Perplexidade,Confusão,Surpresa
Atonito,Espanto,Surpresa
Temor,Espanto,Surpresa
Ansiedade,Excitacao,Surpresa
Energético,Excitacao,Surpresa
Indiferança,Tédio,Mal
Apatia,Tédio,Mal
Pressionado,Ocupado,Mal
Agradecimento,Ocupado,Mal
Sobrecarregado,Estresse,Mal
Sem controle,Estresse,Mal
Sonolento,Cansaço,Mal
Disperso,Cansaço,Mal
